Di-photon ACC,Di-photon AUC,ZZ->4l ACC,ZZ->4l AUC,Luminosity (fb^-1),Model type,Model Name,Za ACC,Za AUC
0.6669,0.722729635,0.63315,0.6787910799999999,100.0,Event-CNN,quark_jet_2_cut_eventCNN_L_100_wo_a_case1_01,0.67235,0.7313652
0.65245,0.7048793400000001,0.6314,0.679837185,100.0,Event-CNN,quark_jet_2_cut_eventCNN_L_100_wo_a_case1_02,0.655,0.707844725
0.66505,0.722292415,0.64885,0.69779838,100.0,Event-CNN,quark_jet_2_cut_eventCNN_L_100_wo_a_case1_03,0.6713,0.729048665
0.65075,0.7039880700000001,0.60675,0.64946164,100.0,Event-CNN,quark_jet_2_cut_eventCNN_L_100_wo_a_case1_04,0.6601,0.7140789649999999
0.63545,0.6849492150000001,0.5919,0.623092655,100.0,Event-CNN,quark_jet_2_cut_eventCNN_L_100_wo_a_case1_05,0.6708,0.73040561
0.554,0.572106395,0.5318,0.538840175,100.0,Event-CNN,quark_jet_2_cut_eventCNN_L_100_wo_a_case1_06,0.66355,0.71850858
0.6472,0.695703425,0.6269,0.66793384,100.0,Event-CNN,quark_jet_2_cut_eventCNN_L_100_wo_a_case1_07,0.6525,0.702097755
0.6466,0.694097435,0.60505,0.6406808900000001,100.0,Event-CNN,quark_jet_2_cut_eventCNN_L_100_wo_a_case1_08,0.6603,0.7115696150000002
0.66465,0.71967391,0.6344,0.6767190999999999,100.0,Event-CNN,quark_jet_2_cut_eventCNN_L_100_wo_a_case1_09,0.67325,0.7303633549999999
0.53785,0.54829516,0.5297,0.5417256100000001,100.0,Event-CNN,quark_jet_2_cut_eventCNN_L_100_wo_a_case1_10,0.66335,0.7162351199999999
0.65435,0.70318552,0.6269,0.6646399199999999,300.0,Event-CNN,quark_jet_2_cut_eventCNN_L_300_wo_a_case1_01,0.6751,0.73408439
0.6594,0.7163852900000001,0.6443,0.692717205,300.0,Event-CNN,quark_jet_2_cut_eventCNN_L_300_wo_a_case1_02,0.68115,0.7408617249999999
0.67135,0.727523675,0.6438,0.6848840300000001,300.0,Event-CNN,quark_jet_2_cut_eventCNN_L_300_wo_a_case1_03,0.67905,0.7370083150000001
0.6753,0.73237223,0.63275,0.6741605500000001,300.0,Event-CNN,quark_jet_2_cut_eventCNN_L_300_wo_a_case1_04,0.68365,0.74371489
0.67185,0.729562735,0.6334,0.68029804,300.0,Event-CNN,quark_jet_2_cut_eventCNN_L_300_wo_a_case1_05,0.67585,0.7335952650000002
0.6685,0.7281231,0.6421,0.69255424,300.0,Event-CNN,quark_jet_2_cut_eventCNN_L_300_wo_a_case1_06,0.6788,0.736217105
0.65495,0.711800755,0.6456,0.6878206600000001,300.0,Event-CNN,quark_jet_2_cut_eventCNN_L_300_wo_a_case1_07,0.68035,0.7421483249999998
0.67075,0.72571889,0.64475,0.692186925,300.0,Event-CNN,quark_jet_2_cut_eventCNN_L_300_wo_a_case1_08,0.6777,0.7368076600000001
0.6657,0.72580241,0.64565,0.692871435,300.0,Event-CNN,quark_jet_2_cut_eventCNN_L_300_wo_a_case1_09,0.67445,0.7342859249999999
0.6643,0.719738715,0.63105,0.674168865,300.0,Event-CNN,quark_jet_2_cut_eventCNN_L_300_wo_a_case1_10,0.66865,0.72232041
0.6878,0.7465996350000002,0.66065,0.713374755,900.0,Event-CNN,quark_jet_2_cut_eventCNN_L_900_wo_a_case1_01,0.6885,0.74784123
0.6719,0.731340725,0.64,0.68783076,900.0,Event-CNN,quark_jet_2_cut_eventCNN_L_900_wo_a_case1_02,0.67255,0.7311174800000001
0.682,0.7416909349999998,0.6587,0.710880065,900.0,Event-CNN,quark_jet_2_cut_eventCNN_L_900_wo_a_case1_03,0.6802,0.7369298999999998
0.68085,0.73797175,0.6482,0.691271795,900.0,Event-CNN,quark_jet_2_cut_eventCNN_L_900_wo_a_case1_04,0.6751,0.7329113949999999
0.66805,0.72418205,0.6352,0.6825961549999999,900.0,Event-CNN,quark_jet_2_cut_eventCNN_L_900_wo_a_case1_05,0.67275,0.73111632
0.6606,0.72047712,0.64915,0.70013912,900.0,Event-CNN,quark_jet_2_cut_eventCNN_L_900_wo_a_case1_06,0.68315,0.7437741750000001
0.6749,0.73395933,0.65075,0.701967935,900.0,Event-CNN,quark_jet_2_cut_eventCNN_L_900_wo_a_case1_07,0.6796,0.7378901250000001
0.6838,0.742322305,0.6569,0.7112625450000001,900.0,Event-CNN,quark_jet_2_cut_eventCNN_L_900_wo_a_case1_08,0.6815,0.7374478849999999
0.66845,0.72990294,0.6489,0.7013991500000001,900.0,Event-CNN,quark_jet_2_cut_eventCNN_L_900_wo_a_case1_09,0.68905,0.747453085
0.6776,0.735079065,0.6494,0.69860137,900.0,Event-CNN,quark_jet_2_cut_eventCNN_L_900_wo_a_case1_10,0.68155,0.7408327400000001
0.68195,0.740313445,0.66335,0.7130462150000001,1800.0,Event-CNN,quark_jet_2_cut_eventCNN_L_1800_wo_a_case1_01,0.68465,0.747859945
0.68085,0.738135085,0.6529,0.7059980699999999,1800.0,Event-CNN,quark_jet_2_cut_eventCNN_L_1800_wo_a_case1_02,0.68565,0.74361459
0.6818,0.73645251,0.66455,0.71711141,1800.0,Event-CNN,quark_jet_2_cut_eventCNN_L_1800_wo_a_case1_03,0.6687,0.7223181999999999
0.6795,0.7400002849999999,0.65375,0.703292875,1800.0,Event-CNN,quark_jet_2_cut_eventCNN_L_1800_wo_a_case1_04,0.6726,0.729318965
0.68165,0.7412770449999999,0.66285,0.71590073,1800.0,Event-CNN,quark_jet_2_cut_eventCNN_L_1800_wo_a_case1_05,0.67735,0.7347335450000001
0.6787,0.740532265,0.66575,0.7201304850000001,1800.0,Event-CNN,quark_jet_2_cut_eventCNN_L_1800_wo_a_case1_06,0.68445,0.7413751849999999
0.68335,0.74446809,0.66035,0.715612915,1800.0,Event-CNN,quark_jet_2_cut_eventCNN_L_1800_wo_a_case1_07,0.67275,0.7286314399999999
0.679,0.7421803899999999,0.651,0.7046819850000001,1800.0,Event-CNN,quark_jet_2_cut_eventCNN_L_1800_wo_a_case1_08,0.6874,0.7447922600000001
0.68815,0.7498023250000001,0.65715,0.704025785,1800.0,Event-CNN,quark_jet_2_cut_eventCNN_L_1800_wo_a_case1_09,0.69125,0.751300895
0.67495,0.7280210100000001,0.6525,0.7052974999999999,1800.0,Event-CNN,quark_jet_2_cut_eventCNN_L_1800_wo_a_case1_10,0.6813,0.737631045
0.68185,0.73864586,0.65715,0.710390015,3000.0,Event-CNN,quark_jet_2_cut_eventCNN_L_3000_wo_a_case1_01,0.6821,0.7397748500000001
0.6877,0.747813805,0.6624,0.71848282,3000.0,Event-CNN,quark_jet_2_cut_eventCNN_L_3000_wo_a_case1_02,0.6898,0.7428201900000001
0.6841,0.7407837250000001,0.66505,0.71367014,3000.0,Event-CNN,quark_jet_2_cut_eventCNN_L_3000_wo_a_case1_03,0.6819,0.73586803
0.68315,0.7409027300000001,0.66015,0.71225071,3000.0,Event-CNN,quark_jet_2_cut_eventCNN_L_3000_wo_a_case1_04,0.68165,0.73864057
0.67595,0.732324305,0.65655,0.709760255,3000.0,Event-CNN,quark_jet_2_cut_eventCNN_L_3000_wo_a_case1_05,0.68115,0.73813076
0.6895,0.7483582049999999,0.67155,0.72715164,3000.0,Event-CNN,quark_jet_2_cut_eventCNN_L_3000_wo_a_case1_06,0.6873,0.746996875
0.68635,0.7452174,0.65935,0.710975885,3000.0,Event-CNN,quark_jet_2_cut_eventCNN_L_3000_wo_a_case1_07,0.679,0.7349096950000001
0.68805,0.748251235,0.65,0.7023806850000001,3000.0,Event-CNN,quark_jet_2_cut_eventCNN_L_3000_wo_a_case1_08,0.68475,0.74013214
0.6856,0.745584095,0.6673,0.71971132,3000.0,Event-CNN,quark_jet_2_cut_eventCNN_L_3000_wo_a_case1_09,0.6857,0.7408464300000001
0.6803,0.7435431699999999,0.65675,0.7132270649999999,3000.0,Event-CNN,quark_jet_2_cut_eventCNN_L_3000_wo_a_case1_10,0.68435,0.7405975250000001
0.6749,0.73161624,0.6391,0.68481366,100.0,Event-CNN,quark_jet_2_cut_eventCNN_L_100_wo_a_case1_phi_aug_5_01,0.68325,0.74400338
0.65135,0.70483415,0.6333,0.67750766,100.0,Event-CNN,quark_jet_2_cut_eventCNN_L_100_wo_a_case1_phi_aug_5_02,0.67075,0.722863975
0.68335,0.7444684999999999,0.65,0.699108305,100.0,Event-CNN,quark_jet_2_cut_eventCNN_L_100_wo_a_case1_phi_aug_5_03,0.68085,0.739163605
0.656,0.707453605,0.6284,0.6765730000000001,100.0,Event-CNN,quark_jet_2_cut_eventCNN_L_100_wo_a_case1_phi_aug_5_04,0.6538,0.70435864
0.66005,0.714604545,0.62355,0.664358785,100.0,Event-CNN,quark_jet_2_cut_eventCNN_L_100_wo_a_case1_phi_aug_5_05,0.6692,0.7277603899999999
0.6686,0.72556718,0.64025,0.6878792599999999,100.0,Event-CNN,quark_jet_2_cut_eventCNN_L_100_wo_a_case1_phi_aug_5_06,0.66505,0.7233120099999999
