Train signal size,Train background size,Validation signal size,Validation background size,Test signal size,Test background size,Training method,Model structure,Model Name,Loss,ACC,AUC,Loss-true,ACC-true,AUC-true,Sample Type,Training epochs,time
100000,100000,25000,25000,25000,25000,supervised,ParT_Light,ParT_w_a_01,0.4555463790893554,0.78912,0.868323836,0.4520143270492553,0.79156,0.8697649264,"pure, w/ photon",54,2025-08-11 18:55:31.285640
100000,100000,25000,25000,25000,25000,supervised,ParT_Light,ParT_w_a_06,0.4480936825275421,0.79406,0.8734565807999999,0.4471285939216614,0.79694,0.8734861232,"pure, w/ photon",80,2025-08-11 20:19:21.480435
100000,100000,25000,25000,25000,25000,supervised,ParT_Light,ParT_w_a_02,0.4608646929264068,0.78674,0.8650497208000001,0.4579125046730041,0.78904,0.8666850472000001,"pure, w/ photon",59,2025-08-11 22:05:35.531676
100000,100000,25000,25000,25000,25000,supervised,ParT_Light,ParT_w_a_08,0.4508073031902313,0.79246,0.8710792488,0.4483741819858551,0.79626,0.8724555824000001,"pure, w/ photon",93,2025-08-12 01:58:11.008028
100000,100000,25000,25000,25000,25000,supervised,ParT_Light,ParT_w_a_03,0.450206458568573,0.79316,0.8721825000000001,0.4490006566047668,0.79416,0.8720472568,"pure, w/ photon",110,2025-08-12 04:01:19.116501
100000,100000,25000,25000,25000,25000,supervised,ParT_Light,ParT_w_a_09,0.4566151201725006,0.78906,0.8671893216,0.4538226127624511,0.79152,0.8689512616,"pure, w/ photon",62,2025-08-12 05:19:01.426952
100000,100000,25000,25000,25000,25000,supervised,ParT_Light,ParT_w_a_04,0.4755666851997375,0.7776,0.8563353456,0.4741305410861969,0.78076,0.8572910600000001,"pure, w/ photon",61,2025-08-12 07:18:45.944038
100000,100000,25000,25000,25000,25000,supervised,ParT_Light,ParT_w_a_10,0.4900567531585693,0.76956,0.8462174800000001,0.4850084781646728,0.77332,0.8493599223999999,"pure, w/ photon",47,2025-08-12 07:50:48.062375
100000,100000,25000,25000,25000,25000,supervised,ParT_Light,ParT_w_a_05,0.5130141973495483,0.75166,0.8279915600000001,0.5112495422363281,0.75308,0.8289628112,"pure, w/ photon",24,2025-08-12 08:35:43.717494
100000,100000,25000,25000,25000,25000,supervised,ParT_Light,ParT_wo_a_06,0.4661099910736084,0.78104,0.8620566632,0.4637807309627533,0.78368,0.8630075888000002,"pure, w/o photon",53,2025-08-12 10:41:48.123099
100000,100000,25000,25000,25000,25000,supervised,ParT_Light,ParT_wo_a_01,0.4606584012508392,0.78402,0.8648381456,0.4592405557632446,0.78662,0.8651549912000001,"pure, w/o photon",90,2025-08-12 13:27:30.441385
100000,100000,25000,25000,25000,25000,supervised,ParT_Light,ParT_wo_a_02,0.5233261585235596,0.747,0.819018,0.5195151567459106,0.74918,0.8222441528,"pure, w/o photon",33,2025-08-12 15:13:10.771336
100000,100000,25000,25000,25000,25000,supervised,ParT_Light,ParT_wo_a_07,0.4580061435699463,0.78652,0.8663772408000001,0.4566937386989593,0.78768,0.866711456,"pure, w/o photon",86,2025-08-12 15:19:20.193952
100000,100000,25000,25000,25000,25000,supervised,ParT_Light,ParT_wo_a_03,0.5514287948608398,0.72688,0.7966114928000001,0.5495481491088867,0.72914,0.7995486864,"pure, w/o photon",17,2025-08-12 16:07:14.358722
100000,100000,25000,25000,25000,25000,supervised,ParT_Light,ParT_wo_a_08,0.4771257042884826,0.77626,0.854558924,0.4740954041481018,0.77704,0.8558611543999999,"pure, w/o photon",32,2025-08-12 17:02:39.619690
100000,100000,25000,25000,25000,25000,supervised,ParT_Light,ParT_wo_a_04,0.4934791326522827,0.76556,0.8442269128000001,0.4905372560024261,0.76698,0.8458834376,"pure, w/o photon",32,2025-08-12 17:50:37.772484
100000,100000,25000,25000,25000,25000,supervised,ParT_Light,ParT_wo_a_09,0.4772071540355682,0.77526,0.8542829208,0.4759639799594879,0.778,0.8545686567999999,"pure, w/o photon",40,2025-08-12 19:12:32.734220
100000,100000,25000,25000,25000,25000,supervised,ParT_Light,ParT_wo_a_05,0.4606756269931793,0.7847,0.8644766088,0.460491806268692,0.78456,0.8641951472000001,"pure, w/o photon",94,2025-08-12 22:53:22.249662
720,491,180,124,10000,10000,CWoLa,ParT_Light,ParT_L100_w_a_01,0.6680012941360474,0.618421052631579,0.5460125448028674,0.6962189674377441,0.55355,0.5687009650000001,"quark jet: = 2, L: 100 fb^-1, w/ photon",27,2025-08-12 22:55:59.770918
720,491,180,124,10000,10000,CWoLa,ParT_Light,ParT_L100_w_a_02,0.7288140058517456,0.5953947368421053,0.5136200716845879,0.7047646641731262,0.51645,0.499634035,"quark jet: = 2, L: 100 fb^-1, w/ photon",27,2025-08-12 22:58:41.802461
720,491,180,124,10000,10000,CWoLa,ParT_Light,ParT_L100_w_a_03,0.7066893577575684,0.5888157894736842,0.4940412186379928,0.7262593507766724,0.5057,0.4729353549999999,"quark jet: = 2, L: 100 fb^-1, w/ photon",33,2025-08-12 23:01:38.128871
720,491,180,124,10000,10000,CWoLa,ParT_Light,ParT_L100_w_a_04,0.6743882894515991,0.5986842105263158,0.5672491039426523,0.6960980892181396,0.59515,0.62248762,"quark jet: = 2, L: 100 fb^-1, w/ photon",47,2025-08-12 23:05:32.946659
